Symbol,Date,Model,H,PredictedClose
HBAR,2025-10-19,NAIVE,30,0.188223
HBAR,2025-10-20,NAIVE,30,0.188223
HBAR,2025-10-21,NAIVE,30,0.188223
HBAR,2025-10-22,NAIVE,30,0.188223
HBAR,2025-10-23,NAIVE,30,0.188223
HBAR,2025-10-24,NAIVE,30,0.188223
HBAR,2025-10-25,NAIVE,30,0.188223
HBAR,2025-10-26,NAIVE,30,0.188223
HBAR,2025-10-27,NAIVE,30,0.188223
HBAR,2025-10-28,NAIVE,30,0.188223
HBAR,2025-10-29,NAIVE,30,0.188223
HBAR,2025-10-30,NAIVE,30,0.188223
HBAR,2025-10-31,NAIVE,30,0.188223
HBAR,2025-11-01,NAIVE,30,0.188223
HBAR,2025-11-02,NAIVE,30,0.188223
HBAR,2025-11-03,NAIVE,30,0.188223
HBAR,2025-11-04,NAIVE,30,0.188223
HBAR,2025-11-05,NAIVE,30,0.188223
HBAR,2025-11-06,NAIVE,30,0.188223
HBAR,2025-11-07,NAIVE,30,0.188223
HBAR,2025-11-08,NAIVE,30,0.188223
HBAR,2025-11-09,NAIVE,30,0.188223
HBAR,2025-11-10,NAIVE,30,0.188223
HBAR,2025-11-11,NAIVE,30,0.188223
